date,region,product,units,price,orders,revenue
2026-07-07,North,TabMax,38,35000,33,1330000
2026-07-07,South,XPhone Pro,52,50000,47,2600000
2026-07-07,South,TabMax,41,35000,35,1435000
2026-07-07,East,XPhone Pro,52,50000,46,2600000
2026-07-07,East,TabMax,41,35000,36,1435000
2026-07-07,West,XPhone Pro,50,50000,45,2500000
2026-07-07,West,TabMax,41,35000,36,1435000
2026-07-08,North,XPhone Pro,47,50000,43,2350000
2026-07-08,North,TabMax,38,35000,33,1330000
2026-07-08,South,XPhone Pro,47,50000,42,2350000
2026-07-08,South,TabMax,39,35000,34,1365000
2026-07-08,East,XPhone Pro,49,50000,44,2450000
2026-07-08,East,TabMax,39,35000,34,1365000
2026-07-08,West,XPhone Pro,51,50000,46,2550000
2026-07-08,West,TabMax,39,35000,34,1365000
2026-07-09,North,XPhone Pro,48,50000,44,2400000
2026-07-09,North,TabMax,40,35000,35,1400000
2026-07-09,South,XPhone Pro,48,50000,43,2400000
2026-07-09,South,TabMax,41,35000,36,1435000
2026-07-09,East,XPhone Pro,47,50000,43,2350000
2026-07-09,East,TabMax,41,35000,36,1435000
2026-07-09,West,XPhone Pro,51,50000,46,2550000
2026-07-09,West,TabMax,38,35000,33,1330000
2026-07-10,North,XPhone Pro,47,50000,42,2350000
2026-07-10,North,TabMax,41,35000,36,1435000
2026-07-10,South,XPhone Pro,51,50000,45,2550000
2026-07-10,South,TabMax,40,35000,35,1400000
2026-07-10,East,XPhone Pro,51,50000,46,2550000
2026-07-10,East,TabMax,38,35000,33,1330000
2026-07-10,West,XPhone Pro,49,50000,44,2450000
2026-07-10,West,TabMax,38,35000,33,1330000
2026-07-11,North,XPhone Pro,51,50000,46,2550000
2026-07-11,North,TabMax,40,35000,35,1400000
2026-07-11,South,XPhone Pro,49,50000,44,2450000
2026-07-11,South,TabMax,38,35000,33,1330000
2026-07-11,East,XPhone Pro,49,50000,44,2450000
2026-07-11,East,TabMax,39,35000,34,1365000
2026-07-11,West,XPhone Pro,51,50000,46,2550000
2026-07-11,West,TabMax,40,35000,35,1400000
2026-07-12,North,XPhone Pro,51,50000,46,2550000
2026-07-12,North,TabMax,39,35000,34,1365000
2026-07-12,South,XPhone Pro,48,50000,43,2400000
2026-07-12,South,TabMax,40,35000,35,1400000
2026-07-12,East,XPhone Pro,51,50000,46,2550000
2026-07-12,East,TabMax,40,35000,35,1400000
2026-07-12,West,XPhone Pro,51,50000,46,2550000
2026-07-12,West,TabMax,39,35000,34,1365000
2026-07-13,North,XPhone Pro,50,50000,45,2500000
2026-07-13,North,TabMax,39,35000,34,1365000
2026-07-13,South,XPhone Pro,47,50000,42,2350000
2026-07-13,South,TabMax,38,35000,33,1330000
2026-07-13,East,XPhone Pro,47,50000,42,2350000
2026-07-13,East,TabMax,40,35000,35,1400000
2026-07-13,West,XPhone Pro,49,50000,44,2450000
2026-07-13,West,TabMax,40,35000,35,1400000
2026-07-14,North,XPhone Pro,52,50000,46,2600000
2026-07-14,North,TabMax,38,35000,34,1330000
2026-07-14,South,XPhone Pro,49,50000,44,2450000
2026-07-14,South,TabMax,41,35000,35,1435000
2026-07-14,East,XPhone Pro,48,50000,43,2400000
2026-07-14,East,TabMax,38,35000,33,1330000
2026-07-14,West,XPhone Pro,48,50000,44,2400000
2026-07-14,West,TabMax,38,35000,33,1330000
2026-07-15,North,XPhone Pro,52,50000,46,2600000
2026-07-15,North,TabMax,41,35000,36,1435000
2026-07-15,South,XPhone Pro,50,50000,45,2500000
2026-07-15,South,TabMax,41,35000,36,1435000
2026-07-15,East,XPhone Pro,51,50000,46,2550000
2026-07-15,East,TabMax,38,35000,33,1330000
2026-07-15,West,XPhone Pro,51,50000,46,2550000
2026-07-15,West,TabMax,40,35000,35,1400000
2026-07-16,North,XPhone Pro,51,50000,46,2550000
2026-07-16,North,TabMax,41,35000,36,1435000
2026-07-16,South,XPhone Pro,49,50000,44,2450000
2026-07-16,South,TabMax,38,35000,33,1330000
2026-07-16,East,XPhone Pro,48,50000,43,2400000
2026-07-16,East,TabMax,39,35000,34,1365000
2026-07-16,West,XPhone Pro,51,50000,46,2550000
2026-07-16,West,TabMax,41,35000,36,1435000
2026-07-17,North,XPhone Pro,47,50000,42,2350000
2026-07-17,North,TabMax,40,35000,35,1400000
2026-07-17,South,XPhone Pro,49,50000,44,2450000
2026-07-17,South,TabMax,38,35000,34,1330000
2026-07-17,East,XPhone Pro,48,50000,43,2400000
2026-07-17,East,TabMax,39,35000,34,1365000
2026-07-17,West,XPhone Pro,52,50000,46,2600000
2026-07-17,West,TabMax,39,35000,34,1365000
2026-07-18,North,XPhone Pro,50,50000,45,2500000
2026-07-18,North,TabMax,40,35000,35,1400000
2026-07-18,South,XPhone Pro,49,50000,44,2450000
2026-07-18,South,TabMax,41,35000,36,1435000
2026-07-18,East,XPhone Pro,52,50000,47,2600000
2026-07-18,East,TabMax,39,35000,34,1365000
2026-07-18,West,XPhone Pro,49,50000,44,2450000
2026-07-18,West,TabMax,39,35000,34,1365000
2026-07-19,North,XPhone Pro,48,50000,44,2400000
2026-07-19,North,TabMax,38,35000,33,1330000
2026-07-19,South,XPhone Pro,50,50000,45,2500000
2026-07-19,South,TabMax,40,35000,35,1400000
2026-07-19,East,XPhone Pro,47,50000,42,2350000
2026-07-19,East,TabMax,39,35000,34,1365000
2026-07-19,West,XPhone Pro,52,50000,46,2600000
2026-07-19,West,TabMax,38,35000,34,1330000
2026-07-20,North,XPhone Pro,48,50000,43,2400000
2026-07-20,North,TabMax,39,35000,34,1365000
2026-07-20,South,XPhone Pro,52,50000,47,2600000
2026-07-20,South,TabMax,38,35000,34,1330000
2026-07-20,East,XPhone Pro,50,50000,45,2500000
2026-07-20,East,TabMax,41,35000,35,1435000
2026-07-20,West,XPhone Pro,48,50000,43,2400000
2026-07-20,West,TabMax,40,35000,35,1400000
2026-07-21,North,XPhone Pro,49,50000,44,2450000
2026-07-21,North,TabMax,40,35000,35,1400000
2026-07-21,South,XPhone Pro,50,50000,45,2500000
2026-07-21,South,TabMax,40,35000,35,1400000
2026-07-21,East,XPhone Pro,47,50000,43,2350000
2026-07-21,East,TabMax,41,35000,36,1435000
2026-07-21,West,XPhone Pro,49,50000,44,2450000
2026-07-21,West,TabMax,38,35000,33,1330000
2026-07-22,North,XPhone Pro,47,50000,42,2350000
2026-07-22,North,TabMax,40,35000,35,1400000
2026-07-22,South,XPhone Pro,50,50000,45,2500000
2026-07-22,South,TabMax,38,35000,33,1330000
2026-07-22,East,XPhone Pro,50,50000,45,2500000
2026-07-22,East,TabMax,38,35000,34,1330000
2026-07-22,West,XPhone Pro,50,50000,45,2500000
2026-07-22,West,TabMax,38,35000,33,1330000
2026-07-23,North,XPhone Pro,50,50000,45,2500000
2026-07-23,North,TabMax,39,35000,34,1365000
2026-07-23,South,XPhone Pro,52,50000,46,2600000
2026-07-23,South,TabMax,38,35000,33,1330000
2026-07-23,East,XPhone Pro,49,50000,44,2450000
2026-07-23,East,TabMax,38,35000,33,1330000
2026-07-23,West,XPhone Pro,52,50000,46,2600000
2026-07-23,West,TabMax,41,35000,36,1435000
2026-07-24,North,XPhone Pro,48,50000,43,2400000
2026-07-24,North,TabMax,40,35000,35,1400000
2026-07-24,South,XPhone Pro,51,50000,46,2550000
2026-07-24,South,TabMax,40,35000,35,1400000
2026-07-24,East,XPhone Pro,50,50000,45,2500000
2026-07-24,East,TabMax,38,35000,34,1330000
2026-07-24,West,XPhone Pro,47,50000,43,2350000
2026-07-24,West,TabMax,41,35000,36,1435000
2026-07-25,North,XPhone Pro,52,50000,46,2600000
2026-07-25,North,TabMax,40,35000,35,1400000
2026-07-25,South,XPhone Pro,49,50000,44,2450000
2026-07-25,South,TabMax,39,35000,34,1365000
2026-07-25,East,XPhone Pro,51,50000,46,2550000
2026-07-25,East,TabMax,41,35000,36,1435000
2026-07-25,West,XPhone Pro,51,50000,46,2550000
2026-07-25,West,TabMax,41,35000,35,1435000
2026-07-26,North,XPhone Pro,50,50000,45,2500000
2026-07-26,North,TabMax,38,35000,33,1330000
2026-07-26,South,XPhone Pro,48,50000,43,2400000
2026-07-26,South,TabMax,41,35000,36,1435000
2026-07-26,East,XPhone Pro,50,50000,45,2500000
2026-07-26,East,TabMax,38,35000,33,1330000
2026-07-26,West,XPhone Pro,48,50000,43,2400000
2026-07-26,West,TabMax,40,35000,35,1400000
2026-07-27,North,XPhone Pro,47,50000,42,2350000
2026-07-27,North,TabMax,38,35000,33,1330000
2026-07-27,South,XPhone Pro,50,50000,45,2500000
2026-07-27,South,TabMax,40,35000,35,1400000
2026-07-27,East,XPhone Pro,50,50000,45,2500000
2026-07-27,East,TabMax,38,35000,34,1330000
2026-07-27,West,XPhone Pro,51,50000,45,2550000
2026-07-27,West,TabMax,38,35000,34,1330000
2026-07-28,North,XPhone Pro,49,50000,44,2450000
2026-07-28,North,TabMax,40,35000,35,1400000
2026-07-28,South,XPhone Pro,50,50000,45,2500000
2026-07-28,South,TabMax,41,35000,36,1435000
2026-07-28,East,XPhone Pro,50,50000,45,2500000
2026-07-28,East,TabMax,40,35000,35,1400000
2026-07-28,West,XPhone Pro,47,50000,43,2350000
2026-07-28,West,TabMax,39,35000,34,1365000
2026-07-29,North,XPhone Pro,48,50000,43,2400000
2026-07-29,North,TabMax,38,35000,34,1330000
2026-07-29,South,XPhone Pro,52,50000,47,2600000
2026-07-29,South,TabMax,39,35000,34,1365000
2026-07-29,East,XPhone Pro,51,50000,46,2550000
2026-07-29,East,TabMax,40,35000,35,1400000
2026-07-29,West,XPhone Pro,51,50000,46,2550000
2026-07-29,West,TabMax,40,35000,35,1400000
2026-07-30,North,XPhone Pro,50,50000,45,2500000
2026-07-30,North,TabMax,39,35000,34,1365000
2026-07-30,South,XPhone Pro,48,50000,43,2400000
2026-07-30,South,TabMax,40,35000,35,1400000
2026-07-30,East,XPhone Pro,48,50000,44,2400000
2026-07-30,East,TabMax,38,35000,33,1330000
2026-07-30,West,XPhone Pro,50,50000,45,2500000
2026-07-30,West,TabMax,38,35000,33,1330000
2026-07-31,North,XPhone Pro,52,50000,46,2600000
2026-07-31,North,TabMax,41,35000,36,1435000
2026-07-31,South,XPhone Pro,52,50000,46,2600000
2026-07-31,South,TabMax,39,35000,34,1365000
2026-07-31,East,XPhone Pro,47,50000,42,2350000
2026-07-31,East,TabMax,41,35000,36,1435000
2026-07-31,West,XPhone Pro,49,50000,44,2450000
2026-07-31,West,TabMax,41,35000,36,1435000
2026-08-01,North,XPhone Pro,52,50000,47,2600000
2026-08-01,North,TabMax,41,35000,36,1435000
2026-08-01,South,XPhone Pro,48,50000,44,2400000
2026-08-01,South,TabMax,39,35000,34,1365000
2026-08-01,East,XPhone Pro,51,50000,46,2550000
2026-08-01,East,TabMax,39,35000,34,1365000
2026-08-01,West,XPhone Pro,48,50000,43,2400000
2026-08-01,West,TabMax,40,35000,35,1400000
2026-08-02,North,XPhone Pro,52,50000,46,2600000
2026-08-02,North,TabMax,40,35000,35,1400000
2026-08-02,South,XPhone Pro,50,50000,45,2500000
2026-08-02,South,TabMax,38,35000,33,1330000
2026-08-02,East,XPhone Pro,50,50000,45,2500000
2026-08-02,East,TabMax,41,35000,36,1435000
2026-08-02,West,XPhone Pro,48,50000,43,2400000
2026-08-02,West,TabMax,40,35000,35,1400000
2026-08-03,North,XPhone Pro,51,50000,46,2550000
2026-08-03,North,TabMax,40,35000,35,1400000
2026-08-03,South,XPhone Pro,50,50000,45,2500000
2026-08-03,South,TabMax,40,35000,35,1400000
2026-08-03,East,XPhone Pro,49,50000,44,2450000
2026-08-03,East,TabMax,39,35000,34,1365000
2026-08-03,West,XPhone Pro,51,50000,46,2550000
2026-08-03,West,TabMax,41,35000,36,1435000
2026-08-04,North,XPhone Pro,51,50000,46,2550000
2026-08-04,North,TabMax,41,35000,36,1435000
2026-08-04,South,XPhone Pro,50,50000,45,2500000
2026-08-04,South,TabMax,40,35000,35,1400000
2026-08-04,East,XPhone Pro,51,50000,46,2550000
2026-08-04,East,TabMax,40,35000,35,1400000
2026-08-04,West,XPhone Pro,51,50000,45,2550000
2026-08-04,West,TabMax,41,35000,36,1435000
2026-08-05,North,XPhone Pro,51,50000,46,2550000
2026-08-05,North,TabMax,39,35000,34,1365000
2026-08-05,South,XPhone Pro,49,50000,44,2450000
2026-08-05,South,TabMax,38,35000,33,1330000
2026-08-05,East,XPhone Pro,50,50000,45,2500000
2026-08-05,East,TabMax,38,35000,33,1330000
2026-08-05,West,XPhone Pro,49,50000,44,2450000
2026-08-05,West,TabMax,40,35000,35,1400000
2026-08-06,North,XPhone Pro,48,50000,44,2400000
2026-08-06,North,TabMax,40,35000,35,1400000
2026-08-06,South,XPhone Pro,47,50000,42,2350000
2026-08-06,South,TabMax,38,35000,33,1330000
2026-08-06,East,XPhone Pro,51,50000,46,2550000
2026-08-06,East,TabMax,39,35000,34,1365000
2026-08-06,West,XPhone Pro,48,50000,43,2400000
2026-08-06,West,TabMax,40,35000,35,1400000
2026-08-07,North,XPhone Pro,51,50000,46,2550000
2026-08-07,North,TabMax,38,35000,34,1330000
2026-08-07,South,XPhone Pro,50,50000,45,2500000
2026-08-07,South,TabMax,38,35000,33,1330000
2026-08-07,East,XPhone Pro,47,50000,42,2350000
2026-08-07,East,TabMax,40,35000,35,1400000
2026-08-07,West,XPhone Pro,50,50000,45,2500000
2026-08-07,West,TabMax,40,35000,35,1400000
2026-08-08,North,XPhone Pro,51,50000,46,2550000
2026-08-08,North,TabMax,41,35000,36,1435000
2026-08-08,South,XPhone Pro,50,50000,45,2500000
2026-08-08,South,TabMax,39,35000,34,1365000
2026-08-08,East,XPhone Pro,51,50000,46,2550000
2026-08-08,East,TabMax,39,35000,34,1365000
2026-08-08,West,XPhone Pro,49,50000,44,2450000
2026-08-08,West,TabMax,38,35000,33,1330000
2026-08-09,North,XPhone Pro,47,50000,42,2350000
2026-08-09,North,TabMax,41,35000,36,1435000
2026-08-09,South,XPhone Pro,51,50000,46,2550000
2026-08-09,South,TabMax,40,35000,35,1400000
2026-08-09,East,XPhone Pro,49,50000,44,2450000
2026-08-09,East,TabMax,38,35000,33,1330000
2026-08-09,West,XPhone Pro,48,50000,43,2400000
2026-08-09,West,TabMax,39,35000,34,1365000
2026-08-10,North,XPhone Pro,50,50000,45,2500000
2026-08-10,North,TabMax,40,35000,35,1400000
2026-08-10,South,XPhone Pro,50,50000,45,2500000
2026-08-10,South,TabMax,39,35000,34,1365000
2026-08-10,East,XPhone Pro,52,50000,47,2600000
2026-08-10,East,TabMax,40,35000,35,1400000
2026-08-10,West,XPhone Pro,50,50000,45,2500000
2026-08-10,West,TabMax,40,35000,35,1400000
2026-08-11,North,XPhone Pro,49,50000,44,2450000
2026-08-11,North,TabMax,38,35000,34,1330000
2026-08-11,South,XPhone Pro,49,50000,44,2450000
2026-08-11,South,TabMax,41,35000,35,1435000
2026-08-11,East,XPhone Pro,47,50000,42,2350000
2026-08-11,East,TabMax,38,35000,33,1330000
2026-08-11,West,XPhone Pro,47,50000,42,2350000
2026-08-11,West,TabMax,38,35000,33,1330000
2026-08-12,North,XPhone Pro,51,50000,46,2550000
2026-08-12,North,TabMax,40,35000,35,1400000
2026-08-12,South,XPhone Pro,49,50000,44,2450000
2026-08-12,South,TabMax,38,35000,33,1330000
2026-08-12,East,XPhone Pro,49,50000,44,2450000
2026-08-12,East,TabMax,39,35000,34,1365000
2026-08-12,West,XPhone Pro,48,50000,43,2400000
2026-08-12,West,TabMax,39,35000,34,1365000
2026-08-13,North,XPhone Pro,49,50000,44,2450000
2026-08-13,North,TabMax,40,35000,35,1400000
2026-08-13,South,XPhone Pro,50,50000,45,2500000
2026-08-13,South,TabMax,38,35000,33,1330000
2026-08-13,East,XPhone Pro,49,50000,44,2450000
2026-08-13,East,TabMax,40,35000,35,1400000
2026-08-13,West,XPhone Pro,50,50000,45,2500000
2026-08-13,West,TabMax,41,35000,36,1435000
2026-08-14,North,XPhone Pro,50,50000,45,2500000
2026-08-14,North,TabMax,38,35000,33,1330000
2026-08-14,South,XPhone Pro,47,50000,43,2350000
2026-08-14,South,TabMax,40,35000,35,1400000
2026-08-14,East,XPhone Pro,47,50000,42,2350000
2026-08-14,East,TabMax,40,35000,35,1400000
2026-08-14,West,XPhone Pro,52,50000,46,2600000
2026-08-14,West,TabMax,40,35000,35,1400000
2026-08-15,North,XPhone Pro,49,50000,44,2450000
2026-08-15,North,TabMax,40,35000,35,1400000
2026-08-15,South,XPhone Pro,49,50000,44,2450000
2026-08-15,South,TabMax,40,35000,35,1400000
2026-08-15,East,XPhone Pro,52,50000,46,2600000
2026-08-15,East,TabMax,39,35000,34,1365000
2026-08-15,West,XPhone Pro,52,50000,47,2600000
2026-08-15,West,TabMax,41,35000,36,1435000
2026-08-16,North,XPhone Pro,48,50000,43,2400000
2026-08-16,North,TabMax,38,35000,33,1330000
2026-08-16,North,NovaWatch,19,25000,17,475000
2026-08-16,South,XPhone Pro,47,50000,42,2350000
2026-08-16,South,TabMax,38,35000,33,1330000
2026-08-16,South,NovaWatch,20,25000,18,500000
2026-08-16,East,XPhone Pro,47,50000,43,2350000
2026-08-16,East,TabMax,39,35000,34,1365000
2026-08-16,East,NovaWatch,20,25000,18,500000
2026-08-16,West,XPhone Pro,47,50000,42,2350000
2026-08-16,West,TabMax,41,35000,36,1435000
2026-08-16,West,NovaWatch,19,25000,17,475000
2026-08-17,North,XPhone Pro,48,50000,43,2400000
2026-08-17,North,TabMax,40,35000,35,1400000
2026-08-17,North,NovaWatch,20,25000,18,500000
2026-08-17,South,XPhone Pro,51,50000,46,2550000
2026-08-17,South,TabMax,40,35000,35,1400000
2026-08-17,South,NovaWatch,20,25000,18,500000
2026-08-17,East,XPhone Pro,48,50000,44,2400000
2026-08-17,East,TabMax,38,35000,33,1330000
2026-08-17,East,NovaWatch,20,25000,18,500000
2026-08-17,West,XPhone Pro,51,50000,46,2550000
2026-08-17,West,TabMax,41,35000,36,1435000
2026-08-17,West,NovaWatch,19,25000,17,475000
2026-08-18,North,XPhone Pro,49,50000,44,2450000
2026-08-18,North,TabMax,41,35000,35,1435000
2026-08-18,North,NovaWatch,19,25000,17,475000
2026-08-18,South,XPhone Pro,52,50000,46,2600000
2026-08-18,South,TabMax,41,35000,36,1435000
2026-08-18,South,NovaWatch,19,25000,17,475000
2026-08-18,East,XPhone Pro,51,50000,46,2550000
2026-08-18,East,TabMax,41,35000,35,1435000
2026-08-18,East,NovaWatch,19,25000,17,475000
2026-08-18,West,XPhone Pro,52,50000,46,2600000
2026-08-18,West,TabMax,40,35000,35,1400000
2026-08-18,West,NovaWatch,20,25000,18,500000
2026-08-19,North,XPhone Pro,49,50000,44,2450000
2026-08-19,North,TabMax,41,35000,36,1435000
2026-08-19,North,NovaWatch,19,25000,17,475000
2026-08-19,South,XPhone Pro,47,50000,42,2350000
2026-08-19,South,TabMax,41,35000,36,1435000
2026-08-19,South,NovaWatch,19,25000,17,475000
2026-08-19,East,XPhone Pro,49,50000,44,2450000
2026-08-19,East,TabMax,41,35000,36,1435000
2026-08-19,East,NovaWatch,20,25000,18,500000
2026-08-19,West,XPhone Pro,50,50000,45,2500000
2026-08-19,West,TabMax,40,35000,35,1400000
2026-08-19,West,NovaWatch,19,25000,17,475000
2026-08-20,North,XPhone Pro,48,50000,44,2400000
2026-08-20,North,TabMax,39,35000,34,1365000
2026-08-20,North,NovaWatch,20,25000,18,500000
2026-08-20,South,XPhone Pro,51,50000,46,2550000
2026-08-20,South,TabMax,41,35000,36,1435000
2026-08-20,South,NovaWatch,20,25000,18,500000
2026-08-20,East,XPhone Pro,47,50000,43,2350000
2026-08-20,East,TabMax,39,35000,34,1365000
2026-08-20,East,NovaWatch,19,25000,17,475000
2026-08-20,West,XPhone Pro,50,50000,45,2500000
2026-08-20,West,TabMax,39,35000,34,1365000
2026-08-20,West,NovaWatch,20,25000,18,500000
2026-08-21,North,XPhone Pro,49,50000,44,2450000
2026-08-21,North,TabMax,38,35000,33,1330000
2026-08-21,North,NovaWatch,20,25000,18,500000
2026-08-21,South,XPhone Pro,40,47500,35,1900000
2026-08-21,South,TabMax,40,35000,35,1400000
2026-08-21,South,NovaWatch,20,25000,18,500000
2026-08-21,East,XPhone Pro,47,50000,43,2350000
2026-08-21,East,TabMax,38,35000,33,1330000
2026-08-21,East,NovaWatch,19,25000,17,475000
2026-08-21,West,XPhone Pro,52,50000,47,2600000
2026-08-21,West,TabMax,42,35000,36,1470000
2026-08-21,West,NovaWatch,19,25000,17,475000
2026-08-22,North,XPhone Pro,52,50000,46,2600000
2026-08-22,North,TabMax,40,35000,34,1400000
2026-08-22,North,NovaWatch,19,25000,17,475000
2026-08-22,South,XPhone Pro,39,47500,35,1852500
2026-08-22,South,TabMax,39,35000,34,1365000
2026-08-22,South,NovaWatch,19,25000,17,475000
2026-08-22,East,XPhone Pro,51,50000,46,2550000
2026-08-22,East,TabMax,37,35000,32,1295000
2026-08-22,East,NovaWatch,20,25000,18,500000
2026-08-22,West,XPhone Pro,49,50000,45,2450000
2026-08-22,West,TabMax,39,35000,34,1365000
2026-08-22,West,NovaWatch,19,25000,17,475000
2026-08-23,North,XPhone Pro,48,50000,43,2400000
2026-08-23,North,TabMax,41,35000,36,1435000
2026-08-23,North,NovaWatch,19,25000,17,475000
2026-08-23,South,XPhone Pro,43,47500,38,2042500
2026-08-23,South,TabMax,40,35000,35,1400000
2026-08-23,South,NovaWatch,20,25000,18,500000
2026-08-23,East,XPhone Pro,51,50000,45,2550000
2026-08-23,East,TabMax,38,35000,33,1330000
2026-08-23,East,NovaWatch,19,25000,17,475000
2026-08-23,West,XPhone Pro,53,50000,48,2650000
2026-08-23,West,TabMax,39,35000,34,1365000
2026-08-23,West,NovaWatch,19,25000,17,475000
2026-08-24,North,XPhone Pro,49,50000,44,2450000
2026-08-24,North,TabMax,40,35000,35,1400000
2026-08-24,North,NovaWatch,20,25000,18,500000
2026-08-24,South,XPhone Pro,42,47500,37,1995000
2026-08-24,South,TabMax,40,35000,35,1400000
2026-08-24,South,NovaWatch,20,25000,18,500000
2026-08-24,East,XPhone Pro,49,50000,44,2450000
2026-08-24,East,TabMax,37,35000,33,1295000
2026-08-24,East,NovaWatch,20,25000,18,500000
2026-08-24,West,XPhone Pro,50,50000,45,2500000
2026-08-24,West,TabMax,42,35000,36,1470000
2026-08-24,West,NovaWatch,19,25000,17,475000
2026-08-25,North,XPhone Pro,50,50000,45,2500000
2026-08-25,North,TabMax,41,35000,36,1435000
2026-08-25,North,NovaWatch,20,25000,18,500000
2026-08-25,South,XPhone Pro,43,47500,38,2042500
2026-08-25,South,TabMax,42,35000,36,1470000
2026-08-25,South,NovaWatch,19,25000,17,475000
2026-08-25,East,XPhone Pro,48,50000,43,2400000
2026-08-25,East,TabMax,38,35000,33,1330000
2026-08-25,East,NovaWatch,20,25000,18,500000
2026-08-25,West,XPhone Pro,53,50000,47,2650000
2026-08-25,West,TabMax,42,35000,36,1470000
2026-08-25,West,NovaWatch,20,25000,18,500000
2026-08-26,North,XPhone Pro,49,50000,44,2450000
2026-08-26,North,TabMax,41,35000,36,1435000
2026-08-26,North,NovaWatch,19,25000,17,475000
2026-08-26,South,XPhone Pro,42,47500,37,1995000
2026-08-26,South,TabMax,39,35000,34,1365000
2026-08-26,South,NovaWatch,20,25000,18,500000
2026-08-26,East,XPhone Pro,52,50000,46,2600000
2026-08-26,East,TabMax,38,35000,33,1330000
2026-08-26,East,NovaWatch,20,25000,18,500000
2026-08-26,West,XPhone Pro,51,50000,46,2550000
2026-08-26,West,TabMax,38,35000,33,1330000
2026-08-26,West,NovaWatch,20,25000,18,500000
2026-08-27,North,XPhone Pro,51,50000,45,2550000
2026-08-27,North,TabMax,38,35000,33,1330000
2026-08-27,North,NovaWatch,19,25000,17,475000
2026-08-27,South,XPhone Pro,41,47500,36,1947500
2026-08-27,South,TabMax,40,35000,34,1400000
2026-08-27,South,NovaWatch,19,25000,17,475000
2026-08-27,East,XPhone Pro,51,50000,46,2550000
2026-08-27,East,TabMax,37,35000,32,1295000
2026-08-27,East,NovaWatch,20,25000,18,500000
2026-08-27,West,XPhone Pro,49,50000,44,2450000
2026-08-27,West,TabMax,39,35000,34,1365000
2026-08-27,West,NovaWatch,19,25000,17,475000
