date,region,product,stock_units,stockout_events,holding_cost_inr
2026-08-11,South,XPhone Pro,126,0,4541
2026-08-11,South,TabMax,292,0,1426
2026-08-11,South,NovaWatch,91,0,2970
2026-08-11,East,XPhone Pro,124,0,3675
2026-08-11,East,TabMax,92,0,4527
2026-08-11,East,NovaWatch,180,0,3248
2026-08-11,West,XPhone Pro,301,0,1103
2026-08-11,West,TabMax,410,0,3796
2026-08-11,West,NovaWatch,152,0,1273
2026-08-12,North,XPhone Pro,467,0,3292
2026-08-12,North,TabMax,120,0,1462
2026-08-12,North,NovaWatch,127,0,3117
2026-08-12,South,XPhone Pro,136,0,2143
2026-08-12,South,TabMax,326,0,1889
2026-08-12,South,NovaWatch,300,0,4679
2026-08-12,East,XPhone Pro,145,0,2875
2026-08-12,East,TabMax,297,0,1599
2026-08-12,East,NovaWatch,373,0,4505
2026-08-12,West,XPhone Pro,157,0,3884
2026-08-12,West,TabMax,219,0,2386
2026-08-12,West,NovaWatch,237,0,4303
2026-08-13,North,XPhone Pro,52,0,4984
2026-08-13,North,TabMax,102,0,4411
2026-08-13,North,NovaWatch,409,0,4037
2026-08-13,South,XPhone Pro,341,0,4571
2026-08-13,South,TabMax,219,0,3957
2026-08-13,South,NovaWatch,393,0,1144
2026-08-13,East,XPhone Pro,273,0,1773
2026-08-13,East,TabMax,456,0,2681
2026-08-13,East,NovaWatch,442,0,3276
2026-08-13,West,XPhone Pro,351,0,1522
2026-08-13,West,TabMax,354,0,1291
2026-08-13,West,NovaWatch,347,0,4692
2026-08-14,North,XPhone Pro,499,0,2248
2026-08-14,North,TabMax,72,0,1858
2026-08-14,North,NovaWatch,190,0,3384
2026-08-14,South,XPhone Pro,115,0,2308
2026-08-14,South,TabMax,59,0,2920
2026-08-14,South,NovaWatch,494,0,3173
2026-08-14,East,XPhone Pro,85,0,2108
2026-08-14,East,TabMax,376,0,2028
2026-08-14,East,NovaWatch,239,0,4719
2026-08-14,West,XPhone Pro,424,0,3840
2026-08-14,West,TabMax,328,0,1922
2026-08-14,West,NovaWatch,463,0,2958
2026-08-15,North,XPhone Pro,374,0,1569
2026-08-15,North,TabMax,298,0,4478
2026-08-15,North,NovaWatch,176,0,2764
2026-08-15,South,XPhone Pro,182,0,4201
2026-08-15,South,TabMax,405,0,4768
2026-08-15,South,NovaWatch,233,0,4823
2026-08-15,East,XPhone Pro,262,0,3498
2026-08-15,East,TabMax,210,0,1203
2026-08-15,East,NovaWatch,449,0,1579
2026-08-15,West,XPhone Pro,239,0,1600
2026-08-15,West,TabMax,283,0,1185
2026-08-15,West,NovaWatch,99,0,2561
2026-08-16,North,XPhone Pro,344,0,4502
2026-08-16,North,TabMax,396,0,4007
2026-08-16,North,NovaWatch,299,0,2854
2026-08-16,South,XPhone Pro,492,0,4752
2026-08-16,South,TabMax,482,0,2381
2026-08-16,South,NovaWatch,212,0,1233
2026-08-16,East,XPhone Pro,381,0,3718
2026-08-16,East,TabMax,446,0,3375
2026-08-16,East,NovaWatch,336,0,2528
2026-08-16,West,XPhone Pro,81,0,2679
2026-08-16,West,TabMax,159,0,4231
2026-08-16,West,NovaWatch,153,0,4231
2026-08-17,North,XPhone Pro,423,0,4688
2026-08-17,North,TabMax,254,0,4993
2026-08-17,North,NovaWatch,169,0,1830
2026-08-17,South,XPhone Pro,259,0,2550
2026-08-17,South,TabMax,360,0,3272
2026-08-17,South,NovaWatch,465,0,1887
2026-08-17,East,XPhone Pro,174,0,3596
2026-08-17,East,TabMax,114,0,4456
2026-08-17,East,NovaWatch,412,0,4098
2026-08-17,West,XPhone Pro,349,0,3558
2026-08-17,West,TabMax,132,0,2797
2026-08-17,West,NovaWatch,112,0,2052
2026-08-18,North,XPhone Pro,205,0,3562
2026-08-18,North,TabMax,257,0,2268
2026-08-18,North,NovaWatch,278,0,1811
2026-08-18,South,XPhone Pro,448,0,3710
2026-08-18,South,TabMax,302,0,4114
2026-08-18,South,NovaWatch,292,0,1053
2026-08-18,East,XPhone Pro,242,0,2534
2026-08-18,East,TabMax,265,0,4305
2026-08-18,East,NovaWatch,426,0,3275
2026-08-18,West,XPhone Pro,384,0,3298
2026-08-18,West,TabMax,365,0,3745
2026-08-18,West,NovaWatch,99,0,4198
2026-08-19,North,XPhone Pro,88,0,1733
2026-08-19,North,TabMax,473,0,3237
2026-08-19,North,NovaWatch,413,0,2223
2026-08-19,South,XPhone Pro,495,0,4754
2026-08-19,South,TabMax,216,0,4098
2026-08-19,South,NovaWatch,126,0,3577
2026-08-19,East,XPhone Pro,206,0,3303
2026-08-19,East,TabMax,194,0,3510
2026-08-19,East,NovaWatch,92,0,3834
2026-08-19,West,XPhone Pro,240,0,2216
2026-08-19,West,TabMax,251,0,1841
2026-08-19,West,NovaWatch,404,0,3335
2026-08-20,North,XPhone Pro,250,0,4719
2026-08-20,North,TabMax,232,0,2748
2026-08-20,North,NovaWatch,310,0,4366
2026-08-20,South,XPhone Pro,393,8,4367
2026-08-20,South,TabMax,344,0,1727
2026-08-20,South,NovaWatch,402,0,3224
2026-08-20,East,XPhone Pro,94,0,2444
2026-08-20,East,TabMax,173,0,4717
2026-08-20,East,NovaWatch,115,0,3759
2026-08-20,West,XPhone Pro,425,0,2043
2026-08-20,West,TabMax,349,0,2987
2026-08-20,West,NovaWatch,448,0,1243
2026-08-21,North,XPhone Pro,393,0,1532
2026-08-21,North,TabMax,428,0,3479
2026-08-21,North,NovaWatch,299,0,1812
2026-08-21,South,XPhone Pro,283,9,3903
2026-08-21,South,TabMax,416,0,3402
2026-08-21,South,NovaWatch,474,0,2494
2026-08-21,East,XPhone Pro,171,0,3479
2026-08-21,East,TabMax,356,0,2787
2026-08-21,East,NovaWatch,259,0,1791
2026-08-21,West,XPhone Pro,179,0,1804
2026-08-21,West,TabMax,497,0,2155
2026-08-21,West,NovaWatch,354,0,2747
2026-08-22,North,XPhone Pro,481,0,1945
2026-08-22,North,TabMax,168,0,3726
2026-08-22,North,NovaWatch,471,0,1072
2026-08-22,South,XPhone Pro,160,4,2231
2026-08-22,South,TabMax,108,0,1822
2026-08-22,South,NovaWatch,422,0,4661
2026-08-22,East,XPhone Pro,404,0,4773
2026-08-22,East,TabMax,290,0,1689
2026-08-22,East,NovaWatch,248,0,2124
2026-08-22,West,XPhone Pro,180,0,1972
2026-08-22,West,TabMax,456,0,4598
2026-08-22,West,NovaWatch,196,0,2307
2026-08-23,North,XPhone Pro,435,0,2185
2026-08-23,North,TabMax,269,0,2122
2026-08-23,North,NovaWatch,424,0,1984
2026-08-23,South,XPhone Pro,154,11,4078
2026-08-23,South,TabMax,70,0,1455
2026-08-23,South,NovaWatch,331,0,4914
2026-08-23,East,XPhone Pro,417,0,1088
2026-08-23,East,TabMax,389,0,3782
2026-08-23,East,NovaWatch,192,0,2825
2026-08-23,West,XPhone Pro,485,0,3226
2026-08-23,West,TabMax,159,0,3987
2026-08-23,West,NovaWatch,255,0,4085
2026-08-24,North,XPhone Pro,74,0,3620
2026-08-24,North,TabMax,171,0,4438
2026-08-24,North,NovaWatch,76,0,3613
2026-08-24,South,XPhone Pro,271,11,1572
2026-08-24,South,TabMax,208,0,3180
2026-08-24,South,NovaWatch,496,0,3013
2026-08-24,East,XPhone Pro,401,0,3542
2026-08-24,East,TabMax,484,0,2755
2026-08-24,East,NovaWatch,429,0,4810
2026-08-24,West,XPhone Pro,283,0,1058
2026-08-24,West,TabMax,59,0,2862
2026-08-24,West,NovaWatch,274,0,3607
2026-08-25,North,XPhone Pro,160,0,2059
2026-08-25,North,TabMax,308,0,1607
2026-08-25,North,NovaWatch,56,0,4352
2026-08-25,South,XPhone Pro,86,5,2601
2026-08-25,South,TabMax,417,0,3305
2026-08-25,South,NovaWatch,62,0,2879
2026-08-25,East,XPhone Pro,347,0,3694
2026-08-25,East,TabMax,322,0,3187
2026-08-25,East,NovaWatch,341,0,3981
2026-08-25,West,XPhone Pro,171,0,4166
2026-08-25,West,TabMax,289,0,4831
2026-08-25,West,NovaWatch,380,0,3462
2026-08-26,North,XPhone Pro,316,0,4454
2026-08-26,North,TabMax,196,0,1424
2026-08-26,North,NovaWatch,184,0,2839
2026-08-26,South,XPhone Pro,331,5,4920
2026-08-26,South,TabMax,76,0,2535
2026-08-26,South,NovaWatch,208,0,2686
2026-08-26,East,XPhone Pro,320,0,1820
2026-08-26,East,TabMax,252,0,2123
2026-08-26,East,NovaWatch,424,0,2850
2026-08-26,West,XPhone Pro,374,0,1375
2026-08-26,West,TabMax,455,0,4487
2026-08-26,West,NovaWatch,97,0,1850
2026-08-27,North,XPhone Pro,411,0,4511
2026-08-27,North,TabMax,320,0,2292
2026-08-27,North,NovaWatch,444,0,1044
2026-08-27,South,XPhone Pro,341,3,2676
2026-08-27,South,TabMax,322,0,3723
2026-08-27,South,NovaWatch,293,0,4492
2026-08-27,East,XPhone Pro,59,0,2995
2026-08-27,East,TabMax,457,0,2043
2026-08-27,East,NovaWatch,235,0,3881
2026-08-27,West,XPhone Pro,274,0,1571
2026-08-27,West,TabMax,97,0,1960
2026-08-27,West,NovaWatch,479,0,2626
2026-08-28,North,XPhone Pro,363,0,2716
2026-08-28,North,TabMax,367,0,3542
2026-08-28,North,NovaWatch,70,0,4346
2026-08-28,South,XPhone Pro,203,6,1671
2026-08-28,South,TabMax,265,0,4747
2026-08-28,South,NovaWatch,320,0,2980
2026-08-28,East,XPhone Pro,107,0,4504
2026-08-28,East,TabMax,167,0,1190
2026-08-28,East,NovaWatch,394,0,3961
2026-08-28,West,XPhone Pro,339,0,4750
2026-08-28,West,TabMax,441,0,3766
2026-08-28,West,NovaWatch,180,0,3158
2026-08-29,North,XPhone Pro,255,0,1518
2026-08-29,North,TabMax,163,0,3155
2026-08-29,North,NovaWatch,391,0,1210
2026-08-29,South,XPhone Pro,161,9,1332
2026-08-29,South,TabMax,300,0,4234
2026-08-29,South,NovaWatch,333,0,1982
2026-08-29,East,XPhone Pro,164,0,1469
2026-08-29,East,TabMax,265,0,4257
2026-08-29,East,NovaWatch,121,0,1398
2026-08-29,West,XPhone Pro,132,0,3513
2026-08-29,West,TabMax,138,0,3681
2026-08-29,West,NovaWatch,419,0,4836
